Tim Robbins,Morgan Freeman,Bob Gunton
Jack Nicholson, Shelley Duvall, Danny Lloyd
Charles Chaplin, Paulette Goddard, Jack Oakie
Tyrone Power, Marlene Dietrich, Charles Laughton
Shameik Moore, Jake Johnson, Hailee Steinfeld
Sigourney Weaver, Michael Biehn, Carrie Henn
Kevin Spacey, Annette Bening, Thora Birch
Christian Bale, Tom Hardy, Anne Hathaway
Peter Sellers, George C. Scott, Sterling Hayden
Brad Pitt, Diane Kruger, Eli Roth
Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong
Anthony Gonzalez, Gael García Bernal, Benjamin Bratt
F. Murray Abraham, Tom Hulce, Elizabeth Berridge
Tom Hanks, Tim Allen, Don Rickles
Mel Gibson, Sophie Marceau, Patrick McGoohan
Jurgen Prochnow, Herbert Gronemeyer, Klaus Wennemann
Joaquin Phoenix, Robert De Niro, Zazie Beetz
Robert Downey Jr., Chris Evans, Mark Ruffalo
Yoji Matsuda, Yuriko Ishida, Yuko Tanaka
Robin Williams, Matt Damon, Ben Affleck
Robert De Niro, James Woods, Elizabeth McGovern
Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita
Aamir Khan, Madhavan, Mona Singh
Gene Kelly, Donald O'Connor, Debbie Reynolds
Toshiro Mifune, Yutaka Sada, Tatsuya Nakadai
Ellen Burstyn, Jared Leto, Jennifer Connelly
Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole
Tom Hanks, Tim Allen, Joan Cusack
Mark Hamill, Harrison Ford, Carrie Fisher
Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius
Jim Carrey, Kate Winslet, Tom Wilkinson
Keir Dullea, Gary Lockwood, William Sylvester
Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp
Harvey Keitel, Tim Roth, Michael Madsen
Peter O'Toole, Alec Guinness, Anthony Quinn
Orson Welles, Joseph Cotten, Dorothy Comingore
Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori
Peter Lorre, Ellen Widmann, Inge Landgut
Cary Grant, Eva Marie Saint, James Mason
Jack Lemmon, Shirley MacLaine, Fred MacMurray
James Stewart, Kim Novak, Barbara Bel Geddes
Audrey Tautou, Mathieu Kassovitz, Rufus
Fred MacMurray, Barbara Stanwyck, Edward G. Robinson
Malcolm McDowell, Patrick Magee, Michael Bates
Matthew Modine, R. Lee Ermey, Vincent D'Onofrio
Al Pacino, Michelle Pfeiffer, Steven Bauer
Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.
Lubna Azabal, Melissa Desormeaux-Poulin, Maxim Gaudette
Al Pacino, Robert De Niro, Val Kilmer
Edward Asner, Jordan Nagai, John Ratzenberger
Gregory Peck, John Megna, Frank Overton
Paul Newman, Robert Redford, Robert Shaw
Payman Maadi, Leila Hatami, Sareh Bayat
Harrison Ford, Sean Connery, Alison Doody
Brigitte Helm, Alfred Abel, Gustav Frohlich
Bruce Willis, Alan Rickman, Bonnie Bedelia
Kevin Spacey, Russell Crowe, Guy Pearce
Jason Statham, Brad Pitt, Stephen Graham
Lamberto Maggiorani, Enzo Staiola, Lianella Carell
Robert De Niro, Jodie Foster, Cybill Shepherd
Darsheel Safary, Aamir Khan, Tanay Chheda
Dean-Charles Chapman, George MacKay, Daniel Mays
Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh
Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes
Tom Cruise, Jennifer Connelly, Miles Teller
Clint Eastwood, Lee Van Cleef, Gian Maria Volonte
Christian Bale, Michael Caine, Ken Watanabe
Charles Chaplin, Edna Purviance, Jackie Coogan
Marilyn Monroe, Tony Curtis, Jack Lemmon
Anthony Hopkins, Olivia Colman, Mark Gatiss
Leonardo DiCaprio, Jonah Hill, Margot Robbie
Bette Davis, Anne Baxter, George Sanders
Viggo Mortensen, Mahershala Ali, Linda Cardellini
Spencer Tracy, Burt Lancaster, Richard Widmark
Jim Carrey, Ed Harris, Laura Linney
Tatsuya Nakadai, Akira Terao, Jinpachi Nezu
Robert De Niro, Sharon Stone, Joe Pesci
Daniel Day-Lewis, Paul Dano, Ciaran Hinds
Ivana Baquero, Ariadna Gil, Sergi Lopez
Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo
Clint Eastwood, Gene Hackman, Morgan Freeman
Bruce Willis, Haley Joel Osment, Toni Collette
Sam Neill, Laura Dern, Jeff Goldblum
Russell Crowe, Ed Harris, Jennifer Connelly
Humphrey Bogart, Walter Huston, Tim Holt
Toshiro Mifune, Eijiro Tono, Tatsuya Nakadai
Tommy Lee Jones, Javier Bardem, Josh Brolin
Graham Chapman, John Cleese, Eric Idle
Uma Thurman, David Carradine, Daryl Hannah
Steve McQueen, James Garner, Richard Attenborough
Kurt Russell, Wilford Brimley, Keith David
Toshiro Mifune, Machiko Kyo, Masayuki Mori
Albert Brooks, Ellen DeGeneres, Alexander Gould
Tom Holland, Zendaya, Benedict Cumberbatch
Anthony Hopkins, John Hurt, Anne Bancroft
Jack Nicholson, Faye Dunaway, John Huston
Hugo Weaving, Natalie Portman, Rupert Graves
Robert De Niro, Cathy Moriarty, Joe Pesci
Clark Gable, Vivien Leigh, Thomas Mitchell
Ray Milland, Grace Kelly, Robert Cummings
Chieko Baisho, Takuya Kimura, Tatsuya Gashuin
Jason Flemyng, Dexter Fletcher, Nick Moran
Amy Poehler, Bill Hader, Lewis Black
Ricardo Darin, Soledad Villamil, Pablo Rago
Hugh Jackman, Jake Gyllenhaal, Viola Davis
Frances McDormand, Woody Harrelson, Sam Rockwell
Ewan McGregor, Ewen Bremner, Jonny Lee Miller
William Holden, Alec Guinness, Jack Hawkins
William H. Macy, Frances McDormand, Steve Buscemi
Tom Hardy, Nick Nolte, Joel Edgerton
Clint Eastwood, Bee Vang, Christopher Carley
Leonardo DiCaprio, Tom Hanks, Christopher Walken
Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto
Hilary Swank, Clint Eastwood, Morgan Freeman
Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi
Jason Schwartzman, J.K. Simmons, Rashida Jones
Daniel Radcliffe, Emma Watson, Rupert Grint
Harrison Ford, Rutger Hauer, Sean Young
Charles Chaplin, Mack Swain, Tom Murray
Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender
Ethan Hawke, Julie Delpy, Andrea Eckert
Ralph Fiennes, F. Murray Abraham, Mathieu Amalric
Charlton Heston, Jack Hawkins, Stephen Boyd
Ben Affleck, Rosamund Pike, Neil Patrick Harris
Marlon Brando, Karl Malden, Lee J. Cobb
Ryan O'Neal, Marisa Berenson, Patrick Magee
Buster Keaton, Marion Mack, Glen Cavender
Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie
Victor Sjostrom, Bibi Andersson, Ingrid Thulin
Andrew Garfield, Sam Worthington, Luke Bracey
Robert De Niro, Christopher Walken, John Cazale
Orson Welles, Joseph Cotten, Alida Valli
Song Kang-ho, Kim Sang-kyung, Roe-ha Kim
Yves Montand, Charles Vanel, Peter van Eyck
Buster Keaton, Kathryn McGuire, Joe Keaton
Dario Grandinetti, Maria Marull, Monica Villa
Tom Hardy, Charlize Theron, Nicholas Hoult
James Stewart, Jean Arthur, Claude Rains
Robin Williams, Robert Sean Leonard, Ethan Hawke
Toni Collette, Philip Seymour Hoffman, Eric Bana
Billy Crystal, John Goodman, Mary Gibbs
Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse
Roy Scheider, Robert Shaw, Richard Dreyfuss
Max von Sydow, Gunnar Bjornstrand, Bengt Ekerot
Brie Larson, Jacob Tremblay, Sean Bridgers
Chishu Ryu, Chieko Higashiyama, So Yamamura
Jeff Bridges, John Goodman, Julianne Moore
Matt Damon, Christian Bale, Jon Bernthal
Maria Falconetti, Eugene Silvain, Andre Berley
Brad Garrett, Lou Romano, Patton Oswalt
Don Cheadle, Sophie Okonedo, Joaquin Phoenix
Sylvester Stallone, Talia Shire, Burt Young
Charlie Sheen, Tom Berenger, Willem Dafoe
Hugh Jackman, Patrick Stewart, Dafne Keen
Mark Ruffalo, Michael Keaton, Rachel McAdams
Arnold Schwarzenegger, Linda Hamilton, Michael Biehn
Suriya, Lijo Mol Jose, Manikandan K.
Ethan Hawke, Julie Delpy, Vernon Dobtcheff
Daniel Bruhl, Chris Hemsworth, Olivia Wilde
Faye Dunaway, William Holden, Peter Finch
Wil Wheaton, River Phoenix, Corey Feldman
Chris Pratt, Chukwudi Iwuji, Bradley Cooper
Myrna Loy, Dana Andrews, Fredric March
Emile Hirsch, Vince Vaughn, Catherine Keener
Judy Garland, Frank Morgan, Ray Bolger
Vincent Cassel, Hubert Kounde, Said Taghmaoui
Craig T. Nelson, Samuel L. Jackson, Holly Hunter
Ellen Burstyn, Max von Sydow, Linda Blair
Johnny Depp, Geoffrey Rush, Orlando Bloom
Carole Lombard, Jack Benny, Robert Stack
Bill Murray, Andie MacDowell, Chris Elliott
Çetin Tekindor, Fikret Kuskan, Humeyra
Brahim Hadjadj, Jean Martin, Yacef Saadi
Henry Fonda, Jane Darwell, John Carradine
Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa
Kim Min-hee, Ha Jung-woo, Cho Jin-woong
Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee
Emilio Echevarria, Gael Garcia Bernal, Goya Toledo
Laurence Olivier, Joan Fontaine, George Sanders
Paul Newman, George Kennedy, Strother Martin
Julie Andrews, Christopher Plummer, Eleanor Parker
Clark Gable, Claudette Colbert, Walter Connolly
Jean-Pierre Leaud, Albert Remy, Claire Maurier
Bibi Andersson, Liv Ullmann, Margaretha Krook
Eli Marienthal, Harry Connick Jr., Jennifer Aniston
Viola Davis, Emma Stone, Octavia Spencer
Graham Chapman, John Cleese, Michael Palin
Scott Weinger, Robin Williams, Linda Larkin
Kevin Costner, Mary McDonnell, Graham Greene
Ajay Devgn, Shriya Saran, Tabu
Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia
a1,a2,a3
a11,a12,a13
a111,a112,a113
ABC,DEF,GHI
